1,Corp Viasystems,2019,45539,Sandwitch Shop,Cryptojacking Attack
10,Inc Vulcan,2017,49980,Sandwitch Shop,DoS Attack
100,Grocers,2018,1275800,Burget Franchaise,Drive-by Attack
1000,Entertainment,2023,54098000,Non-Profit,Business Email Compromise Attack
1001,Inc. Acterna,2022,35673638,Bank,DoS Attack
1002,Markets,2015,14791524,Train Station,Phishing
1003,Corporation Viacom,2023,37085925,Hospital,SQL Injection Attack
1004,Inc. The,2017,66275044,Government,Supply chain Attack
1005,and,2021,25960155,Small Business,Man In The Middle Attack
1006,Investment,2013,15740882,Hospital,Spoofing
1007,Airways,2019,57977018,Non-Profit,51% Attack
1008,Incorporated Ace,2011,24940944,Non-Profit,Worm VirusDDoS Attack
1009,Company A.G.,2023,7738021,Hardware Store,Spoofing
101,Inc Vectren,2011,4880118,Government,Business Email Compromise Attack
1010,Laboratories Abercrombie,2022,62687670,Government,Spoofing
1011,Group,,2013,1998747,Government,DoS Attack
1012,Corporation America,2022,27052784,Small Business,Man In The Middle Attack
1013,Inc USA,2014,97254078,Hospital,Cryptojacking Attack
1014,Parcel,2020,48299862,Government,Zero-Day Exploit Attack
1015,Corporation Verizon,2018,22889265,Bank,51% Attack
1016,Inc Washington,2019,47899320,Burget Franchaise,Malware
1017,Companies,2011,64104561,Train Station,Cryptojacking Attack
1018,Resources,2017,39641938,Supermarket,Business Email Compromise Attack
1019,Inc Wells,2014,30104317,Pizzeria,DoS Attack
102,Incorporated Unitrin,2016,3814698,Kindergarden,Insider Attack
1020,Communications,2018,53502060,Supermarket,Phishing
1021,Corporation Allied,2016,61104808,Burget Franchaise,Worm VirusDDoS Attack
1022,Corporation Allied,2015,74770542,Shooting Range,Zero-Day Exploit Attack
1023,Inc Weis,2021,81944346,Pizzeria,Insider Attack
1024,Company Advance,2015,31799296,Supermarket,Worm VirusDDoS Attack
1025,Inc United,2018,6877750,Non-Profit,Supply chain Attack
1026,and,2020,85339602,Bank,Spoofing
1027,Company Air,2015,36233587,Supermarket,51% Attack
1028,Services,2022,75109792,Shooting Range,Cryptojacking Attack
1029,Software,2016,30777390,Orphanage,DoS Attack
103,Inc. TruServ,2010,5262682,Bank,Insider Attack
1030,Inc Wells,2017,22032730,Hospital,Phishing
